epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,602.175,1.32308,0.61429,0.37904,1.17734,0.84674,0.82075,0.70913,0.83288,0.51645,0.77149,0.76473,0.85612,0.73334,1.00897,0.75701,0.2741,1.58489,0.96732,0.004852,0.004852,0.004852
54,613.324,1.05809,0.45504,0.35552,0.96971,0.82739,0.82797,0.67166,0.79354,0.5007,0.86262,0.68742,0.82663,0.68363,1.22002,0.80925,0.27672,1.73285,1.02236,0.004753,0.004753,0.004753
55,626.114,1.07222,0.45579,0.33066,1.02685,0.85371,0.84099,0.63219,0.79185,0.54068,0.83966,0.643,0.8038,0.69859,0.9239,0.75098,0.2647,1.71059,0.93833,0.004654,0.004654,0.004654
56,638.885,1.02684,0.50306,0.40448,0.99681,0.86822,0.81457,0.62726,0.80698,0.45019,0.81457,0.62726,0.81301,0.68961,1.13861,0.752,0.25862,1.70045,0.97832,0.004555,0.004555,0.004555
57,651.579,1.05667,0.42712,0.32872,0.89542,0.84578,0.88161,0.66017,0.8272,0.55789,0.88161,0.66017,0.8317,0.72488,0.95058,0.71196,0.2469,1.56069,0.9446,0.004456,0.004456,0.004456
58,664.741,0.96509,0.44588,0.29558,0.8821,0.84914,0.85387,0.70993,0.81595,0.49088,0.85001,0.71277,0.83158,0.71013,1.15553,0.77637,0.24682,1.70361,1.01228,0.004357,0.004357,0.004357
59,677.716,0.88218,0.45246,0.3184,0.84764,0.83647,0.79746,0.79755,0.84039,0.5187,0.79746,0.79755,0.84977,0.73977,0.99095,0.71034,0.23565,1.55148,0.95977,0.004258,0.004258,0.004258
60,690.428,1.02087,0.3876,0.29131,0.87739,0.84068,0.88635,0.75975,0.84415,0.56351,0.88635,0.75975,0.84665,0.73178,1.07791,0.7804,0.2379,1.5799,0.98532,0.004159,0.004159,0.004159
61,703.358,0.95429,0.45942,0.30602,0.83712,0.83344,0.90348,0.74117,0.84477,0.52848,0.9148,0.75099,0.85655,0.75101,1.01727,0.70926,0.22273,1.54777,0.96768,0.00406,0.00406,0.00406
62,716.031,1.1202,0.47495,0.29768,0.81945,0.84455,0.90681,0.75892,0.86256,0.58059,0.90681,0.75892,0.86256,0.76103,1.04832,0.73889,0.22073,1.5883,0.97998,0.003961,0.003961,0.003961
63,728.89,0.89558,0.42873,0.30682,0.77839,0.85583,0.91593,0.76693,0.87624,0.56046,0.91593,0.76693,0.87636,0.76949,0.97571,0.67958,0.20813,1.40821,0.94912,0.003862,0.003862,0.003862
64,741.69,0.95983,0.37972,0.27682,0.74924,0.86129,0.88498,0.79957,0.89074,0.60801,0.88498,0.79957,0.8931,0.76172,1.02764,0.73209,0.20786,1.48487,0.97182,0.003763,0.003763,0.003763
65,754.625,0.82895,0.33507,0.26284,0.70981,0.82292,0.91814,0.76399,0.89035,0.60838,0.91814,0.76399,0.89071,0.7928,0.95095,0.66005,0.19459,1.36625,0.94776,0.003664,0.003664,0.003664
66,767.511,0.87704,0.39558,0.28325,0.76412,0.84253,0.87043,0.8205,0.90678,0.61984,0.87043,0.8205,0.90746,0.80133,1.01235,0.67181,0.19169,1.42107,0.96329,0.003565,0.003565,0.003565
67,780.362,0.9866,0.4499,0.26222,0.76985,0.83311,0.90566,0.81954,0.89665,0.56984,0.90566,0.81954,0.89761,0.79031,1.01948,0.65236,0.18385,1.405,0.96518,0.003466,0.003466,0.003466
68,793.22,0.93219,0.35625,0.26712,0.72658,0.84023,0.8902,0.80773,0.9019,0.6118,0.8902,0.80773,0.9019,0.79705,0.99813,0.67452,0.18052,1.38238,0.96372,0.003367,0.003367,0.003367
69,806.227,0.80459,0.44005,0.23147,0.73096,0.82608,0.93736,0.7883,0.89676,0.61625,0.93736,0.7883,0.89676,0.80114,0.94773,0.65528,0.17191,1.34567,0.95279,0.003268,0.003268,0.003268
70,819.058,0.75159,0.41165,0.257,0.68661,0.82991,0.90106,0.79879,0.90498,0.61476,0.90106,0.79879,0.90498,0.79294,1.05221,0.63804,0.16939,1.3484,0.98447,0.003169,0.003169,0.003169
71,831.755,0.96186,0.35344,0.26258,0.83938,0.83584,0.91522,0.81311,0.90528,0.59877,0.91522,0.81311,0.90611,0.81504,1.02167,0.59957,0.16084,1.33066,0.9684,0.00307,0.00307,0.00307
72,844.421,0.8951,0.36784,0.25938,0.73919,0.81327,0.90398,0.81173,0.89997,0.64004,0.90398,0.81173,0.9008,0.80516,0.94288,0.59315,0.15785,1.3062,0.95458,0.002971,0.002971,0.002971
73,857.456,0.74659,0.30933,0.22904,0.7164,0.83508,0.92012,0.82113,0.90643,0.62371,0.92012,0.82113,0.90643,0.81941,1.01144,0.58785,0.15097,1.31187,0.96832,0.002872,0.002872,0.002872
74,871.607,0.81941,0.30259,0.22533,0.68558,0.83362,0.90668,0.81702,0.91074,0.63746,0.90668,0.81702,0.91074,0.81295,0.9808,0.60603,0.14966,1.28023,0.96698,0.002773,0.002773,0.002773
75,884.74,0.85942,0.4333,0.23967,0.73245,0.81416,0.90782,0.81103,0.89699,0.61437,0.91704,0.82103,0.9107,0.81716,1.00491,0.61083,0.14361,1.26246,0.96414,0.002674,0.002674,0.002674
76,897.542,0.76213,0.29757,0.25736,0.67278,0.82256,0.89541,0.81267,0.91238,0.64917,0.89541,0.81267,0.91238,0.80851,0.95275,0.61685,0.14113,1.25931,0.96117,0.002575,0.002575,0.002575
77,910.692,0.75188,0.29239,0.19812,0.66323,0.80297,0.91138,0.82798,0.91589,0.64595,0.91138,0.82798,0.91589,0.82516,0.91504,0.58904,0.13537,1.24043,0.94133,0.002476,0.002476,0.002476
78,923.751,0.78061,0.32317,0.20181,0.66962,0.80427,0.92217,0.82254,0.91656,0.65907,0.92217,0.82254,0.91656,0.81471,0.9386,0.6172,0.13361,1.22147,0.95547,0.002377,0.002377,0.002377
79,936.709,0.78716,0.32786,0.31999,0.68686,0.83193,0.93557,0.80944,0.91112,0.6399,0.93557,0.80944,0.91112,0.8208,0.90276,0.5893,0.12947,1.2245,0.93658,0.002278,0.002278,0.002278
80,949.551,0.78494,0.30256,0.20444,0.66823,0.79722,0.92619,0.80507,0.90152,0.66363,0.92619,0.80507,0.90152,0.81202,0.90268,0.63028,0.12799,1.22205,0.94465,0.002179,0.002179,0.002179
81,962.516,0.71999,0.28997,0.19829,0.65023,0.8352,0.93752,0.81677,0.91927,0.66081,0.93752,0.81677,0.91927,0.82145,0.8923,0.58291,0.12374,1.21343,0.9344,0.00208,0.00208,0.00208
